appear	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only
appear	3rd singular	*h₁ludʰét			
appear	3rd plural	*h₁ludʰónt			
appear	active voice	indicative	imperative	subjunctive	optative
appear	1st singular	*h₁ludʰóm	—	*h₁ludʰṓh₂	*h₁ludʰóyh₁m̥
appear	2nd singular	*h₁ludʰés	*h₁ludʰé	*h₁ludʰḗsi	*h₁ludʰóys
appear	3rd singular	*h₁ludʰét	*h₁ludʰétu	*h₁ludʰḗti	*h₁ludʰóyt
appear	1st dual	*h₁ludʰówe	—	*h₁ludʰṓwos	*h₁ludʰóywe
appear	2nd dual	*h₁ludʰétom	*h₁ludʰétom	*h₁ludʰḗtes	*h₁ludʰóytom
appear	3rd dual	*h₁ludʰétām	*h₁ludʰétām	*h₁ludʰḗtes	*h₁ludʰóytām
appear	1st plural	*h₁ludʰóme	—	*h₁ludʰṓmos	*h₁ludʰóyme
appear	2nd plural	*h₁ludʰéte	*h₁ludʰéte	*h₁ludʰḗte	*h₁ludʰóyte
appear	3rd plural	*h₁ludʰónt	*h₁ludʰóntu	*h₁ludʰṓnti	*h₁ludʰóyh₁n̥t
appear					
appear	participle	*h₁ludʰónts			
direct	3rd dual	*duktés	*duktā́m	*duktā́m	*déwketes	*dukih₁tā́m
direct	1st plural	*dukmós	*dukmé	—	*déwkomos	*dukih₁mé
direct	2nd plural	*dukté	*dukté	*dukté	*déwkete	*dukih₁té
direct	3rd plural	*dukénti	*duként	*dukéntu	*déwkonti	*dukih₁ént
direct						
direct	participle	*dukónts				
eat	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic
eat	3rd singular	*h₁édti				
eat	3rd plural	*h₁dénti				
eat	active voice	present indicative	past indicative	imperative	subjunctive	optative
eat	1st singular	*h₁édmi	*h₁édm̥	—	*h₁édoh₂	*h₁dyéh₁m̥
eat	2nd singular	*h₁édsi	*h₁éds	*h₁éd, *h₁ddʰí	*h₁édesi	*h₁dyéh₁s
eat	3rd singular	*h₁édti	*h₁édt	*h₁édtu	*h₁édeti	*h₁dyéh₁t
eat	1st dual	*h₁dwós	*h₁dwé	—	*h₁édowos	*h₁dih₁wé
eat	2nd dual	*h₁dtés	*h₁dtóm	*h₁dtóm	*h₁édetes	*h₁dih₁tóm
eat	3rd dual	*h₁dtés	*h₁dtā́m	*h₁dtā́m	*h₁édetes	*h₁dih₁tā́m
eat	1st plural	*h₁dmós	*h₁dmé	—	*h₁édomos	*h₁dih₁mé
eat	2nd plural	*h₁dté	*h₁dté	*h₁dté	*h₁édete	*h₁dih₁té
eat	3rd plural	*h₁dénti	*h₁dént	*h₁déntu	*h₁édonti	*h₁dih₁ént
eat						
eat	participle	*h₁dónts				
eat	middle voice	present indicative	past indicative	imperative	subjunctive	optative
eat	1st singular	*h₁dh₂ér	*h₁dh₂é	—	*h₁édoh₂er	*h₁dih₁h₂é
eat	2nd singular	*h₁dth₂ér	*h₁dth₂é	*h₁dsó	*h₁édeth₂er	*h₁dih₁th₂é
eat	3rd singular	*h₁dtór, *h₁dór	*h₁dtó, *h₁dó	*?	*h₁édetor	*h₁dih₁tó, *h₁dih₁ó
eat	1st dual	*h₁dwósdʰh₂	*h₁dwédʰh₂	—	*h₁édowosdʰh₂	*h₁dih₁wédʰh₂
eat	2nd dual	*?	*?	*?	*?	*?
eat	3rd dual	*?	*?	*?	*?	*?
eat	1st plural	*h₁dmósdʰh₂	*h₁dmédʰh₂	—	*h₁édomosdʰh₂	*h₁dih₁médʰh₂
eat	2nd plural	*h₁ddʰh₂wé	*h₁ddʰh₂wé	*h₁ddʰh₂wé	*h₁édedʰh₂we	*h₁dih₁dʰh₂wé
eat	3rd plural	*h₁drór, *h₁dn̥tór	*h₁dró, *h₁dn̥tó	*?	*h₁édoror, *h₁édontor	*h₁dih₁ró, *h₁dih₁n̥tó
eat						
eat	participle	*h₁dm̥h₁nós				
endure	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
endure	3rd singular	*térh₂uti				
endure	3rd plural	*tr̥h₂wénti				
endure	active voice	present indicative	past indicative	imperative	subjunctive	optative
endure	1st singular	*térh₂umi	*térh₂wm̥	—	*térh₂uoh₂	*tr̥h₂uyéh₁m̥
endure	2nd singular	*térh₂usi	*térh₂us	*térh₂u, *tr̥h₂udʰí	*térh₂uesi	*tr̥h₂uyéh₁s
endure	3rd singular	*térh₂uti	*térh₂ut	*térh₂utu	*térh₂ueti	*tr̥h₂uyéh₁t
endure	1st dual	*tr̥h₂uwós	*tr̥h₂uwé	—	*térh₂uowos	*tr̥h₂wih₁wé
endure	2nd dual	*tr̥h₂utés	*tr̥h₂utóm	*tr̥h₂utóm	*térh₂uetes	*tr̥h₂wih₁tóm
endure	3rd dual	*tr̥h₂utés	*tr̥h₂utā́m	*tr̥h₂utā́m	*térh₂uetes	*tr̥h₂wih₁tā́m
endure	1st plural	*tr̥h₂umós	*tr̥h₂umé	—	*térh₂uomos	*tr̥h₂wih₁mé
endure	2nd plural	*tr̥h₂uté	*tr̥h₂uté	*tr̥h₂uté	*térh₂uete	*tr̥h₂wih₁té
endure	3rd plural	*tr̥h₂wénti	*tr̥h₂wént	*tr̥h₂wéntu	*térh₂uonti	*tr̥h₂wih₁ént
endure						
endure	participle	*tr̥h₂wónts				
fall	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
fall	3rd singular	*péth₂eti				
fall	3rd plural	*péth₂onti				
fall	active voice	present indicative	past indicative	imperative	subjunctive	optative
fall	1st singular	*péth₂oh₂	*péth₂om	—	*péth₂ōh₂	*péth₂oyh₁m̥
fall	2nd singular	*péth₂esi	*péth₂es	*péth₂e	*péth₂ēsi	*péth₂oys
fall	3rd singular	*péth₂eti	*péth₂et	*péth₂etu	*péth₂ēti	*péth₂oyt
fall	1st dual	*péth₂owos	*péth₂owe	—	*péth₂ōwos	*péth₂oywe
fall	2nd dual	*péth₂etes	*péth₂etom	*péth₂etom	*péth₂ētes	*péth₂oytom
fall	3rd dual	*péth₂etes	*péth₂etām	*péth₂etām	*péth₂ētes	*péth₂oytām
fall	1st plural	*péth₂omos	*péth₂ome	—	*péth₂ōmos	*péth₂oyme
fall	2nd plural	*péth₂ete	*péth₂ete	*péth₂ete	*péth₂ēte	*péth₂oyte
fall	3rd plural	*péth₂onti	*péth₂ont	*péth₂ontu	*péth₂ōnti	*péth₂oyh₁n̥t
fall						
fall	participle	*péth₂onts				
fall	middle voice	present indicative	past indicative	imperative	subjunctive	optative
fall	1st singular	*péth₂oh₂er	*péth₂oh₂e	—	*péth₂ōh₂er	*péth₂oyh₂e
fall	2nd singular	*péth₂eth₂er	*péth₂eth₂e	*péth₂eso	*péth₂ēth₂er	*péth₂oyth₂e
fall	3rd singular	*péth₂etor	*péth₂eto	*?	*péth₂ētor	*péth₂oyto, *péth₂oyh₁o
fall	1st dual	*péth₂owosdʰh₂	*péth₂owedʰh₂	—	*péth₂ōwosdʰh₂	*péth₂oywedʰh₂
fall	2nd dual	*?	*?	*?	*?	*?
fall	3rd dual	*?	*?	*?	*?	*?
fall	1st plural	*péth₂omosdʰh₂	*péth₂omedʰh₂	—	*péth₂ōmosdʰh₂	*péth₂oymedʰh₂
fall	2nd plural	*péth₂edʰh₂we	*péth₂edʰh₂we	*péth₂edʰh₂we	*péth₂ēdʰh₂we	*péth₂oydʰh₂we
fall	3rd plural	*péth₂oror, *péth₂ontor	*péth₂oro, *péth₂onto	*?	*péth₂ōror, *péth₂ōntor	*péth₂oyro, *péth₂oyh₁n̥to
fall						
fall	participle	*péth₂omnos				
fly	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
fly	3rd singular	*péth₂eti				
fly	3rd plural	*péth₂onti				
fly	active voice	present indicative	past indicative	imperative	subjunctive	optative
fly	1st singular	*péth₂oh₂	*péth₂om	—	*péth₂ōh₂	*péth₂oyh₁m̥
fly	2nd singular	*péth₂esi	*péth₂es	*péth₂e	*péth₂ēsi	*péth₂oys
fly	3rd singular	*péth₂eti	*péth₂et	*péth₂etu	*péth₂ēti	*péth₂oyt
fly	1st dual	*péth₂owos	*péth₂owe	—	*péth₂ōwos	*péth₂oywe
fly	2nd dual	*péth₂etes	*péth₂etom	*péth₂etom	*péth₂ētes	*péth₂oytom
fly	3rd dual	*péth₂etes	*péth₂etām	*péth₂etām	*péth₂ētes	*péth₂oytām
fly	1st plural	*péth₂omos	*péth₂ome	—	*péth₂ōmos	*péth₂oyme
fly	2nd plural	*péth₂ete	*péth₂ete	*péth₂ete	*péth₂ēte	*péth₂oyte
fly	3rd plural	*péth₂onti	*péth₂ont	*péth₂ontu	*péth₂ōnti	*péth₂oyh₁n̥t
fly						
fly	participle	*péth₂onts				
fly	middle voice	present indicative	past indicative	imperative	subjunctive	optative
fly	1st singular	*péth₂oh₂er	*péth₂oh₂e	—	*péth₂ōh₂er	*péth₂oyh₂e
fly	2nd singular	*péth₂eth₂er	*péth₂eth₂e	*péth₂eso	*péth₂ēth₂er	*péth₂oyth₂e
fly	3rd singular	*péth₂etor	*péth₂eto	*?	*péth₂ētor	*péth₂oyto, *péth₂oyh₁o
fly	1st dual	*péth₂owosdʰh₂	*péth₂owedʰh₂	—	*péth₂ōwosdʰh₂	*péth₂oywedʰh₂
fly	2nd dual	*?	*?	*?	*?	*?
fly	3rd dual	*?	*?	*?	*?	*?
fly	1st plural	*péth₂omosdʰh₂	*péth₂omedʰh₂	—	*péth₂ōmosdʰh₂	*péth₂oymedʰh₂
fly	2nd plural	*péth₂edʰh₂we	*péth₂edʰh₂we	*péth₂edʰh₂we	*péth₂ēdʰh₂we	*péth₂oydʰh₂we
fly	3rd plural	*péth₂oror, *péth₂ontor	*péth₂oro, *péth₂onto	*?	*péth₂ōror, *péth₂ōntor	*péth₂oyro, *péth₂oyh₁n̥to
fly						
fly	participle	*péth₂omnos				
occupy	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic
occupy	3rd singular	*tḱéyti				
occupy	3rd plural	*tḱyénti				
occupy	active voice	present indicative	past indicative	imperative	subjunctive	optative
occupy	1st singular	*tḱéymi	*tḱḗm	—	*tḱéyoh₂	*tḱiyéh₁m̥
occupy	2nd singular	*tḱéysi	*tḱéys	*tḱéy, *tḱidʰí	*tḱéyesi	*tḱiyéh₁s
occupy	3rd singular	*tḱéyti	*tḱéyt	*tḱéytu	*tḱéyeti	*tḱiyéh₁t
occupy	1st dual	*tḱiwós	*tḱiwé	—	*tḱéyowos	*tḱyih₁wé
occupy	2nd dual	*tḱités	*tḱitóm	*tḱitóm	*tḱéyetes	*tḱyih₁tóm
occupy	3rd dual	*tḱités	*tḱitā́m	*tḱitā́m	*tḱéyetes	*tḱyih₁tā́m
occupy	1st plural	*tḱimós	*tḱimé	—	*tḱéyomos	*tḱyih₁mé
occupy	2nd plural	*tḱité	*tḱité	*tḱité	*tḱéyete	*tḱyih₁té
occupy	3rd plural	*tḱyénti	*tḱyént	*tḱyéntu	*tḱéyonti	*tḱyih₁ént
occupy						
occupy	participle	*tḱyónts				
occupy	middle voice	present indicative	past indicative	imperative	subjunctive	optative
occupy	1st singular	*tḱih₂ér	*tḱih₂é	—	*tḱéyoh₂er	*tḱyih₁h₂é
occupy	2nd singular	*tḱith₂ér	*tḱith₂é	*tḱisó	*tḱéyeth₂er	*tḱyih₁th₂é
occupy	3rd singular	*tḱitór, *tḱyór	*tḱitó, *tḱyó	*?	*tḱéyetor	*tḱyih₁tó, *tḱyih₁ó
occupy	1st dual	*tḱiwósdʰh₂	*tḱiwédʰh₂	—	*tḱéyowosdʰh₂	*tḱyih₁wédʰh₂
occupy	2nd dual	*?	*?	*?	*?	*?
occupy	3rd dual	*?	*?	*?	*?	*?
occupy	1st plural	*tḱimósdʰh₂	*tḱimédʰh₂	—	*tḱéyomosdʰh₂	*tḱyih₁médʰh₂
occupy	2nd plural	*tḱidʰh₂wé	*tḱidʰh₂wé	*tḱidʰh₂wé	*tḱéyedʰh₂we	*tḱyih₁dʰh₂wé
occupy	3rd plural	*tḱirór, *tḱyn̥tór	*tḱiró, *tḱyn̥tó	*?	*tḱéyoror, *tḱéyontor	*tḱyih₁ró, *tḱyih₁n̥tó
occupy						
occupy	participle	*tḱym̥h₁nós				
rest	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only
rest	3rd singular	*légʰyeti				
rest	3rd plural	*légʰyonti				
rest	active voice	present indicative	past indicative	imperative	subjunctive	optative
rest	1st singular	*légʰyoh₂	*légʰyom	—	*légʰyōh₂	*légʰyoyh₁m̥
rest	2nd singular	*légʰyesi	*légʰyes	*légʰye	*légʰyēsi	*légʰyoys
rest	3rd singular	*légʰyeti	*légʰyet	*légʰyetu	*légʰyēti	*légʰyoyt
rest	1st dual	*légʰyowos	*légʰyowe	—	*légʰyōwos	*légʰyoywe
rest	2nd dual	*légʰyetes	*légʰyetom	*légʰyetom	*légʰyētes	*légʰyoytom
rest	3rd dual	*légʰyetes	*légʰyetām	*légʰyetām	*légʰyētes	*légʰyoytām
rest	1st plural	*légʰyomos	*légʰyome	—	*légʰyōmos	*légʰyoyme
rest	2nd plural	*légʰyete	*légʰyete	*légʰyete	*légʰyēte	*légʰyoyte
rest	3rd plural	*légʰyonti	*légʰyont	*légʰyontu	*légʰyōnti	*légʰyoyh₁n̥t
rest						
rest	participle	*légʰyonts				
see	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
see	3rd singular	*spéḱyeti				
see	3rd plural	*spéḱyonti				
see	active voice	present indicative	past indicative	imperative	subjunctive	optative
see	1st singular	*spéḱyoh₂	*spéḱyom	—	*spéḱyōh₂	*spéḱyoyh₁m̥
see	2nd singular	*spéḱyesi	*spéḱyes	*spéḱye	*spéḱyēsi	*spéḱyoys
see	3rd singular	*spéḱyeti	*spéḱyet	*spéḱyetu	*spéḱyēti	*spéḱyoyt
see	1st dual	*spéḱyowos	*spéḱyowe	—	*spéḱyōwos	*spéḱyoywe
see	2nd dual	*spéḱyetes	*spéḱyetom	*spéḱyetom	*spéḱyētes	*spéḱyoytom
see	3rd dual	*spéḱyetes	*spéḱyetām	*spéḱyetām	*spéḱyētes	*spéḱyoytām
see	1st plural	*spéḱyomos	*spéḱyome	—	*spéḱyōmos	*spéḱyoyme
see	2nd plural	*spéḱyete	*spéḱyete	*spéḱyete	*spéḱyēte	*spéḱyoyte
see	3rd plural	*spéḱyonti	*spéḱyont	*spéḱyontu	*spéḱyōnti	*spéḱyoyh₁n̥t
see						
see	participle	*spéḱyonts				
see	middle voice	present indicative	past indicative	imperative	subjunctive	optative
see	1st singular	*spéḱyoh₂er	*spéḱyoh₂e	—	*spéḱyōh₂er	*spéḱyoyh₂e
see	2nd singular	*spéḱyeth₂er	*spéḱyeth₂e	*spéḱyeso	*spéḱyēth₂er	*spéḱyoyth₂e
see	3rd singular	*spéḱyetor	*spéḱyeto	*?	*spéḱyētor	*spéḱyoyto, *spéḱyoyh₁o
see	1st dual	*spéḱyowosdʰh₂	*spéḱyowedʰh₂	—	*spéḱyōwosdʰh₂	*spéḱyoywedʰh₂
see	2nd dual	*?	*?	*?	*?	*?
see	3rd dual	*?	*?	*?	*?	*?
see	1st plural	*spéḱyomosdʰh₂	*spéḱyomedʰh₂	—	*spéḱyōmosdʰh₂	*spéḱyoymedʰh₂
see	2nd plural	*spéḱyedʰh₂we	*spéḱyedʰh₂we	*spéḱyedʰh₂we	*spéḱyēdʰh₂we	*spéḱyoydʰh₂we
see	3rd plural	*spéḱyoror, *spéḱyontor	*spéḱyoro, *spéḱyonto	*?	*spéḱyōror, *spéḱyōntor	*spéḱyoyro, *spéḱyoyh₁n̥to
see						
see	participle	*spéḱyomnos				
hear	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic
hear	3rd singular	*ḱlewt			
hear	3rd plural	*ḱl̥wént			
hear	active voice	indicative	imperative	subjunctive	optative
hear	1st singular	*ḱlēm	—	*ḱlewoh₂	*ḱluyéh₁m̥
hear	2nd singular	*ḱlews	*ḱlew, *ḱludʰí	*ḱlewesi	*ḱluyéh₁s
hear	3rd singular	*ḱlewt	*ḱlewtu	*ḱleweti	*ḱluyéh₁t
hear	1st dual	*ḱluwé	—	*ḱlewowos	*ḱl̥wih₁wé
hear	2nd dual	*ḱlutóm	*ḱlutóm	*ḱlewetes	*ḱl̥wih₁tóm
hear	3rd dual	*ḱlutā́m	*ḱlutā́m	*ḱlewetes	*ḱl̥wih₁tā́m
hear	1st plural	*ḱlumé	—	*ḱlewomos	*ḱl̥wih₁mé
hear	2nd plural	*ḱluté	*ḱluté	*ḱlewete	*ḱl̥wih₁té
hear	3rd plural	*ḱl̥wént	*ḱl̥wéntu	*ḱlewonti	*ḱl̥wih₁ént
hear					
hear	participle	*ḱl̥wónts			
hear	middle voice	indicative	imperative	subjunctive	optative
hear	1st singular	*ḱluh₂é	—	*ḱlewoh₂er	*ḱl̥wih₁h₂é
hear	2nd singular	*ḱluth₂é	*ḱlusó	*ḱleweth₂er	*ḱl̥wih₁th₂é
hear	3rd singular	*ḱlutó, *ḱl̥wó	*?	*ḱlewetor	*ḱl̥wih₁tó, *ḱl̥wih₁ó
hear	1st dual	*ḱluwédʰh₂	—	*ḱlewowosdʰh₂	*ḱl̥wih₁wédʰh₂
hear	2nd dual	*?	*?	*?	*?
hear	3rd dual	*?	*?	*?	*?
hear	1st plural	*ḱlumédʰh₂	—	*ḱlewomosdʰh₂	*ḱl̥wih₁médʰh₂
hear	2nd plural	*ḱludʰh₂wé	*ḱludʰh₂wé	*ḱlewedʰh₂we	*ḱl̥wih₁dʰh₂wé
hear	3rd plural	*ḱluró, *ḱl̥wn̥tó	*?	*ḱleworor, *ḱlewontor	*ḱl̥wih₁ró, *ḱl̥wih₁n̥tó
hear					
hear	participle	*ḱl̥wm̥h₁nós			
show	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
show	3rd singular	*déyḱti				
show	3rd plural	*diḱénti				
show	active voice	present indicative	past indicative	imperative	subjunctive	optative
show	1st singular	*déyḱmi	*déyḱm̥	—	*déyḱoh₂	*diḱyéh₁m̥
show	2nd singular	*déyḱsi	*déyḱs	*déyḱ, *diḱdʰí	*déyḱesi	*diḱyéh₁s
show	3rd singular	*déyḱti	*déyḱt	*déyḱtu	*déyḱeti	*diḱyéh₁t
show	1st dual	*diḱwós	*diḱwé	—	*déyḱowos	*diḱih₁wé
show	2nd dual	*diḱtés	*diḱtóm	*diḱtóm	*déyḱetes	*diḱih₁tóm
show	3rd dual	*diḱtés	*diḱtā́m	*diḱtā́m	*déyḱetes	*diḱih₁tā́m
show	1st plural	*diḱmós	*diḱmé	—	*déyḱomos	*diḱih₁mé
show	2nd plural	*diḱté	*diḱté	*diḱté	*déyḱete	*diḱih₁té
show	3rd plural	*diḱénti	*diḱént	*diḱéntu	*déyḱonti	*diḱih₁ént
show						
show	participle	*diḱónts				
swim	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
swim	3rd singular	*(s)néh₂ti				
swim	3rd plural	*(s)n̥h₂énti				
swim	active voice	present indicative	past indicative	imperative	subjunctive	optative
swim	1st singular	*(s)néh₂mi	*(s)nā́m	—	*(s)néh₂oh₂	*(s)n̥h₂yéh₁m̥
swim	2nd singular	*(s)néh₂si	*(s)néh₂s	*(s)néh₂, *(s)n̥h₂dʰí	*(s)néh₂esi	*(s)n̥h₂yéh₁s
swim	3rd singular	*(s)néh₂ti	*(s)néh₂t	*(s)néh₂tu	*(s)néh₂eti	*(s)n̥h₂yéh₁t
swim	1st dual	*(s)n̥h₂wós	*(s)n̥h₂wé	—	*(s)néh₂owos	*(s)n̥h₂ih₁wé
swim	2nd dual	*(s)n̥h₂tés	*(s)n̥h₂tóm	*(s)n̥h₂tóm	*(s)néh₂etes	*(s)n̥h₂ih₁tóm
swim	3rd dual	*(s)n̥h₂tés	*(s)n̥h₂tā́m	*(s)n̥h₂tā́m	*(s)néh₂etes	*(s)n̥h₂ih₁tā́m
swim	1st plural	*(s)n̥h₂mós	*(s)n̥h₂mé	—	*(s)néh₂omos	*(s)n̥h₂ih₁mé
swim	2nd plural	*(s)n̥h₂té	*(s)n̥h₂té	*(s)n̥h₂té	*(s)néh₂ete	*(s)n̥h₂ih₁té
swim	3rd plural	*(s)n̥h₂énti	*(s)n̥h₂ént	*(s)n̥h₂éntu	*(s)néh₂onti	*(s)n̥h₂ih₁ént
swim						
swim	participle	*(s)n̥h₂ónts				
walk	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only
walk	3rd singular	*stéygʰeti				
walk	3rd plural	*stéygʰonti				
walk	active voice	present indicative	past indicative	imperative	subjunctive	optative
walk	1st singular	*stéygʰoh₂	*stéygʰom	—	*stéygʰōh₂	*stéygʰoyh₁m̥
walk	2nd singular	*stéygʰesi	*stéygʰes	*stéygʰe	*stéygʰēsi	*stéygʰoys
walk	3rd singular	*stéygʰeti	*stéygʰet	*stéygʰetu	*stéygʰēti	*stéygʰoyt
walk	1st dual	*stéygʰowos	*stéygʰowe	—	*stéygʰōwos	*stéygʰoywe
walk	2nd dual	*stéygʰetes	*stéygʰetom	*stéygʰetom	*stéygʰētes	*stéygʰoytom
walk	3rd dual	*stéygʰetes	*stéygʰetām	*stéygʰetām	*stéygʰētes	*stéygʰoytām
walk	1st plural	*stéygʰomos	*stéygʰome	—	*stéygʰōmos	*stéygʰoyme
walk	2nd plural	*stéygʰete	*stéygʰete	*stéygʰete	*stéygʰēte	*stéygʰoyte
walk	3rd plural	*stéygʰonti	*stéygʰont	*stéygʰontu	*stéygʰōnti	*stéygʰoyh₁n̥t
walk						
walk	participle	*stéygʰonts				
warm	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
warm	3rd singular	*gʷʰoréyeti				
warm	3rd plural	*gʷʰoréyonti				
warm	active voice	present indicative	past indicative	imperative	subjunctive	optative
warm	1st singular	*gʷʰoréyoh₂	*gʷʰoréyom	—	*gʷʰoréyōh₂	*gʷʰoréyoyh₁m̥
warm	2nd singular	*gʷʰoréyesi	*gʷʰoréyes	*gʷʰoréye	*gʷʰoréyēsi	*gʷʰoréyoys
warm	3rd singular	*gʷʰoréyeti	*gʷʰoréyet	*gʷʰoréyetu	*gʷʰoréyēti	*gʷʰoréyoyt
warm	1st dual	*gʷʰoréyowos	*gʷʰoréyowe	—	*gʷʰoréyōwos	*gʷʰoréyoywe
warm	2nd dual	*gʷʰoréyetes	*gʷʰoréyetom	*gʷʰoréyetom	*gʷʰoréyētes	*gʷʰoréyoytom
