*	*	*	organization	sapient	carnivore	herbivore	fruitivore	granivore	pescavore	seacreature	plant	bodypart	bodyfluid	viscera	food	item	fixture	liquid	gas	event	location	side	surface	interior	heat-source	visible	audible	vice	virtue	size	quality	quantity	manner	reason	concept	#						
medium	adverbial	transitive																																		#	man	appear	∅		his	
subsurface	adverbial	transitive																							direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#		be	good		attention	
surface	adverbial	transitive																							direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#		be	bad		thought	
presence	adverbial	transitive																																		#		be	big			
aid	adverbial	transitive																																		#		be	long		angry	
lack	adverbial	transitive																																		#		be	loud		falling	
interest	adverbial	transitive																																		#						
purpose	adverbial	transitive																																		#					hello	
time	adverbial	transitive																																		#						
state-of-being	adverbial	transitive																																		#					the	
company	adverbial	transitive																																		#						
topic	adverbial	transitive		direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#					sound	
possession	adverbial	transitive																																		#					size	
resemblance	adverbial	transitive																																		#						
agent	subject	transitive		eat	eat	eat	eat	eat	eat	eat																										#						
agent	subject	intransitive		eat	eat	eat	eat	eat	eat	eat																										#						
agent	direct-object	transitive		endure	endure	endure	endure	endure	endure	endure																										#						
force	subject	transitive		warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	#						
#force	subject	transitive		cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	#						
force	subject	intransitive		fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	fall	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	inform	#						
force	direct-object	transitive		endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure																	#						
patient	subject	transitive	endure	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm											#						
#patient	subject	transitive		cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool												#						
patient	subject	intransitive			warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	change	change	change	change	change	change	change	change	change	change	change	change	change	change	change	#						
#patient	subject	intransitive			cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	change	change	change	change	change	change	change	change	change	change	change	change	change	change	change	#						
patient	direct-object	transitive		warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	eat	warm	warm	warm	warm	warm	warm	warm	warm	warm											#						
#patient	direct-object	transitive		cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool	cool												#						
theme	subject	transitive	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy	occupy									#						
theme	subject	intransitive		walk	walk	walk	walk	walk	walk	walk	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	endure	#						
theme	direct-object	transitive		show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	show	#						
stimulus	subject	transitive	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	displease	please	displease	displease	displease	displease	displease	displease	#						
stimulus	subject	intransitive		appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	appear	#						
stimulus	direct-object	transitive		see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	see	hear	feel	feel	consider	consider	consider	consider	consider	#						
predicand	subject	transitive	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
predicand	subject	intransitive		be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
predicand	direct-object	transitive		be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
predicate	subject	transitive	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
predicate	subject	intransitive	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
predicate	direct-object	transitive		be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	#						
